year,Yearly_Rank,admin,Yearly_Spending,Spending_Increase,Growth_Rel_to_National_Total
2006,9,104001 Ministry of Territorial Administration of RA,1285968500,0,0
2007,9,104001 Ministry of Territorial Administration of RA,938007950,-347960550,-0.050192145
2008,9,104001 Ministry of Territorial Administration of RA,1299686410,361678460,0.040354214
2009,9,104001 Ministry of Territorial Administration of RA,1549608870,249922460,0.026594322
2010,9,104001 Ministry of Territorial Administration of RA,29873049760,28323440890,2.454718824
2011,8,104001 Ministry of Territorial Administration of RA,30088374460,215324700,0.017903851
2012,8,104001 Ministry of Territorial Administration of RA,33194078750,3105704290,0.252898528
2013,8,104001 Ministry of Territorial Administration of RA,37464198310,4270119560,0.310841791
2014,9,104001 Ministry of Territorial Administration of RA,39280584500,1816386190,0.121345294
2015,7,104001 Ministry of Territorial Administration of RA,57107392230,17826807730,1.058871972
2016,9,104001 Ministry of Territorial Administration of RA,45053062200,-12054330030,-0.697456763
2017,9,104001 Ministry of Territorial Administration of RA,40373342690,-4679719510,-0.264775077
2018,8,104001 Ministry of Territorial Administration of RA,41502202230,1128859540,0.066273876
2019,5,104001 Ministry of Territorial Administration of RA,1.40058E+11,98555685260,5.125924734
2020,4,104001 Ministry of Territorial Administration of RA,1.79716E+11,39657886860,1.788893751
2021,4,104001 Ministry of Territorial Administration of RA,2.03438E+11,23722112080,0.983209427
2022,4,104001 Ministry of Territorial Administration of RA,2.77589E+11,74151307110,2.782328569
2006,3,104002 Ministry of Healthcare of RA,39115108700,0,0
2007,4,104002 Ministry of Healthcare of RA,45845146200,6730037500,0.970785394
2008,4,104002 Ministry of Healthcare of RA,49687632600,3842486400,0.428724783
2009,4,104002 Ministry of Healthcare of RA,56132423470,6444790870,0.685792087
2010,5,104002 Ministry of Healthcare of RA,56702249200,569825730,0.049385311
2011,5,104002 Ministry of Healthcare of RA,63736067540,7033818340,0.584848988
2012,5,104002 Ministry of Healthcare of RA,64849228710,1113161170,0.090645082
2013,5,104002 Ministry of Healthcare of RA,64088455090,-760773620,-0.055380237
2014,5,104002 Ministry of Healthcare of RA,74463845130,10375390040,0.693137153
2015,5,104002 Ministry of Healthcare of RA,83596474220,9132629090,0.542457467
2016,5,104002 Ministry of Healthcare of RA,86339966290,2743492070,0.15873691
2017,5,104002 Ministry of Healthcare of RA,80967103950,-5372862340,-0.303992587
2018,5,104002 Ministry of Healthcare of RA,79881801240,-1085302710,-0.063716711
2019,7,104002 Ministry of Healthcare of RA,97595589170,17713787930,0.921301936
2020,7,104002 Ministry of Healthcare of RA,1.41779E+11,44183347130,1.993028874
2021,7,104002 Ministry of Healthcare of RA,1.5791E+11,16130799990,0.66857262
2022,7,104002 Ministry of Healthcare of RA,1.41377E+11,-16533105780,-0.620360373
2006,8,104010 Ministry of Education and Science of RA,11682757500,0,0
