year,Yearly_Rank,func3,Yearly_Spending,Spending_Increase,Growth_Rel_to_National_Total
2006,7,010102 Financial and fiscal relations,13566725970,0,0
2007,6,010102 Financial and fiscal relations,18528667440,4961941470,0.715743457
2008,3,010102 Financial and fiscal relations,36987901000,18459233560,2.059585926
2009,7,010102 Financial and fiscal relations,33011926480,-3975974520,-0.423084615
2010,6,010102 Financial and fiscal relations,42448862460,9436935980,0.817874653
2011,4,010102 Financial and fiscal relations,45221827690,2772965230,0.230566931
2012,6,010102 Financial and fiscal relations,41846107970,-3375719720,-0.274885973
2013,4,010102 Financial and fiscal relations,55270862150,13424754180,0.977250068
2014,6,010102 Financial and fiscal relations,59792022810,4521160660,0.302040156
2015,4,010102 Financial and fiscal relations,94430003470,34637980660,2.057417538
2016,5,010102 Financial and fiscal relations,76705272550,-17724730920,-1.025542973
2017,10,010102 Financial and fiscal relations,39357633431,-37347639119,-2.113101865
2018,10,010102 Financial and fiscal relations,26919355916,-12438277515,-0.730235097
2019,10,010102 Financial and fiscal relations,23624950580,-3294405336,-0.171343477
2020,10,010102 Financial and fiscal relations,31258535830,7633585250,0.344336878
2021,10,010102 Financial and fiscal relations,31169933840,-88601990,-0.003672283
2022,10,010102 Financial and fiscal relations,36967894790,5797960950,0.217552907
2006,8,010701 Operation in the line of public debt,9024646500,0,0
2007,8,010701 Operation in the line of public debt,9956767570,932121070,0.134455346
2008,8,010701 Operation in the line of public debt,10395793470,439025900,0.048984242
2009,9,010701 Operation in the line of public debt,16281591800,5885798330,0.626309527
2010,10,010701 Operation in the line of public debt,30436021340,14154429540,1.226727528
2011,9,010701 Operation in the line of public debt,35537797835,5101776495,0.424203281
2012,7,010701 Operation in the line of public debt,40667846020,5130048185,0.417741521
2013,8,010701 Operation in the line of public debt,46748062898,6080216878,0.442607163
2014,5,010701 Operation in the line of public debt,61645207250,14897144352,0.995216969
2015,5,010701 Operation in the line of public debt,74084107100,12438899850,0.738842456
2016,4,010701 Operation in the line of public debt,98276372290,24192265190,1.399750872
2017,4,010701 Operation in the line of public debt,1.1976E+11,21483929020,1.215544852
2018,3,010701 Operation in the line of public debt,1.39015E+11,19254597730,1.130412392
2019,3,010701 Operation in the line of public debt,1.58083E+11,19068398420,0.991755827
2020,3,010701 Operation in the line of public debt,1.64767E+11,6684062860,0.301505683
2021,4,010701 Operation in the line of public debt,1.80836E+11,16068824670,0.666003931
2022,4,010701 Operation in the line of public debt,2.13745E+11,32909003110,1.234821921
2006,6,010801 General transfers executed between different levels of government,14697945100,0,0
2007,7,010801 General transfers executed between different levels of government,18139479900,3441534800,0.496429881
2008,7,010801 General transfers executed between different levels of government,21550318800,3410838900,0.380563785
2009,8,010801 General transfers executed between different levels of government,28042785900,6492467100,0.690865329
2010,9,010801 General transfers executed between different levels of government,32701611400,4658825500,0.403768267
2011,10,010801 General transfers executed between different levels of government,32495781800,-205829600,-0.017114351
2012,10,010801 General transfers executed between different levels of government,32492548800,-3233000,-0.000263264
2013,10,010801 General transfers executed between different levels of government,36244000000,3751451200,0.273085517
2014,9,010801 General transfers executed between different levels of government,40987427970,4743427970,0.316888921
2015,9,010801 General transfers executed between different levels of government,47362349130,6374921160,0.378655867
2016,9,010801 General transfers executed between different levels of government,49390993510,2028644380,0.117376224
2017,8,010801 General transfers executed between different levels of government,48780516890,-610476620,-0.034540317
2018,8,010801 General transfers executed between different levels of government,48941597850,161080960,0.009456854
2019,7,010801 General transfers executed between different levels of government,58960341080,10018743230,0.521079262
2020,6,010801 General transfers executed between different levels of government,75109107850,16148766770,0.728440929
2021,6,010801 General transfers executed between different levels of government,80789666160,5680558310,0.235441872
2022,6,010801 General transfers executed between different levels of government,80216353200,-573312960,-0.021512028
2009,2,020101 Military defense,1.24982E+11,0,0
2010,2,020101 Military defense,1.42176E+11,17194065450,1.490164852
2011,2,020101 Military defense,1.3976E+11,-2415975440,-0.20088389
2012,2,020101 Military defense,1.46561E+11,6800878750,0.553797806
2013,2,020101 Military defense,1.75413E+11,28852176950,2.100283663
2014,2,020101 Military defense,1.83463E+11,8049665280,0.537765043
2015,2,020101 Military defense,1.91156E+11,7693715280,0.456989249
2016,2,020101 Military defense,2.18064E+11,26907491490,1.55685234
2017,2,020101 Military defense,2.86439E+11,68375426580,3.868631186
2018,2,020101 Military defense,2.28959E+11,-57480633860,-3.374613261
2019,2,020101 Military defense,3.00937E+11,71978013000,3.743608257
2020,1,020101 Military defense,3.83851E+11,82914201644,3.740105915
2021,2,020101 Military defense,3.33555E+11,-50296355574,-2.08463103
2022,2,020101 Military defense,3.69264E+11,35709714670,1.339911098
2006,5,030101 Police,19535692500,0,0
2007,5,030101 Police,24297070900,4761378400,0.686812905
2008,6,030101 Police,29418570200,5121499300,0.571430436
2009,6,030101 Police,34047203600,4628633400,0.492534238
2010,8,030101 Police,34112317390,65113790,0.005643243
2011,8,030101 Police,35664777320,1552459930,0.129084172
2012,8,030101 Police,39819376400,4154599080,0.338310377
2013,7,030101 Police,49461593180,9642216780,0.701901642
2014,7,030101 Police,58484083830,9022490650,0.602755507
2015,7,030101 Police,63391288960,4907205130,0.291476862
2016,8,030101 Police,62288782080,-1102506880,-0.063790429
2017,7,030101 Police,60610047550,-1678734530,-0.094981561
2018,6,030101 Police,60599650740,-10396810,-0.000610383
2019,6,030101 Police,63085147800,2485497060,0.1292718
2020,8,030101 Police,62266384100,-818763700,-0.036932913
2021,8,030101 Police,63852845500,1586461400,0.065754002
2022,8,030101 Police,75203077490,11350231990,0.425886959
2006,3,040501 Road transport,27886041900,0,0
2007,3,040501 Road transport,44013019900,16126978000,2.326262625
2008,2,040501 Road transport,41901173500,-2111846400,-0.235628912
2009,3,040501 Road transport,57792252780,15891079280,1.690974408
