year,Yearly_Spending,Previous_Year_Spending,Growth_Percentage
2006,5.30596E+11,NULL,NULL
2007,6.93257E+11,5.30596E+11,30.66
2008,8.96259E+11,6.93257E+11,29.28
2009,9.39759E+11,8.96259E+11,4.85
2010,1.15384E+12,9.39759E+11,22.78
2011,1.20267E+12,1.15384E+12,4.23
2012,1.22804E+12,1.20267E+12,2.11
2013,1.37373E+12,1.22804E+12,11.86
2014,1.49687E+12,1.37373E+12,8.96
2015,1.68357E+12,1.49687E+12,12.47
2016,1.72833E+12,1.68357E+12,2.66
2017,1.76743E+12,1.72833E+12,2.26
2018,1.70333E+12,1.76743E+12,-3.63
2019,1.92269E+12,1.70333E+12,12.88
2020,2.21689E+12,1.92269E+12,15.3
2021,2.41272E+12,2.21689E+12,8.83
2022,2.66508E+12,2.41272E+12,10.46
